epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
73,12119.3,0.33412,1.5512,1.01351,0.57962,0.60498,0.68204,0.6426,0.39406,1.07759,0.72783,0.000352,0.000352,0.000352
74,12323.2,0.32086,1.53829,1.00091,0.6731,0.62722,0.7046,0.65658,0.41319,1.0853,0.7532,0.000343,0.000343,0.000343
75,12505.5,0.33532,1.56897,1.01335,0.71487,0.58402,0.72191,0.67909,0.36239,1.05357,0.68905,0.000334,0.000334,0.000334
76,12703.4,0.32377,1.52908,1.00877,0.55234,0.61424,0.67491,0.63517,0.38453,1.06295,0.71098,0.000325,0.000325,0.000325
77,12894.2,0.32255,1.52276,1.0062,0.62607,0.60596,0.68614,0.64984,0.36495,1.07622,0.70942,0.000316,0.000316,0.000316
78,13113.7,0.32432,1.52115,1.00327,0.59695,0.62899,0.7004,0.64244,0.44349,1.09047,0.76706,0.000307,0.000307,0.000307
79,13315.5,0.32997,1.52935,1.01376,0.63372,0.64333,0.73959,0.67055,0.44083,1.08559,0.7898,0.000298,0.000298,0.000298
80,13512.9,0.30903,1.48828,0.99887,0.56339,0.67366,0.73433,0.69065,0.40671,1.01392,0.7483,0.000289,0.000289,0.000289
81,13696.9,0.30955,1.45546,1.00242,0.63967,0.63858,0.72169,0.67995,0.36572,1.01092,0.71008,0.00028,0.00028,0.00028
82,13892.8,0.3033,1.48073,0.99897,0.6513,0.63424,0.73879,0.69379,0.39982,1.01519,0.72842,0.000271,0.000271,0.000271
83,14075.8,0.30012,1.44538,0.99509,0.62565,0.63821,0.70946,0.66643,0.38137,1.0463,0.70398,0.000262,0.000262,0.000262
84,14251.4,0.30617,1.46195,1.00275,0.61634,0.67401,0.72821,0.68605,0.38152,1.00378,0.71216,0.000253,0.000253,0.000253
85,14419.9,0.30415,1.44873,0.99011,0.65359,0.6462,0.71561,0.67877,0.35287,1.00528,0.68314,0.000244,0.000244,0.000244
86,14613,0.30499,1.43237,0.99925,0.67944,0.64042,0.73574,0.69449,0.34791,0.98658,0.68423,0.000235,0.000235,0.000235
87,14797.2,0.29481,1.40482,0.99498,0.69373,0.63137,0.72786,0.68169,0.39308,0.96731,0.7238,0.000226,0.000226,0.000226
88,14990.8,0.29735,1.38389,0.9921,0.59272,0.69856,0.74539,0.70053,0.38161,1.00241,0.70822,0.000217,0.000217,0.000217
89,15168.6,0.30354,1.41716,0.99767,0.7198,0.60989,0.72521,0.68779,0.36176,0.99269,0.67398,0.000208,0.000208,0.000208
90,15347.1,0.3118,1.41185,1.00227,0.7267,0.64344,0.7358,0.69332,0.38952,0.98399,0.72684,0.000199,0.000199,0.000199
91,15528.8,0.18364,0.90468,0.9398,0.58121,0.71848,0.7465,0.71369,0.32085,0.93516,0.66567,0.00019,0.00019,0.00019
92,15711.3,0.17549,0.79199,0.93749,0.71267,0.6578,0.76064,0.72761,0.3195,0.90941,0.63979,0.000181,0.000181,0.000181
93,15888,0.16544,0.74506,0.93047,0.65516,0.69283,0.76597,0.73024,0.32651,0.8963,0.65131,0.000172,0.000172,0.000172
94,16071.5,0.1661,0.69906,0.94026,0.64058,0.69799,0.77178,0.73684,0.31042,0.87368,0.62282,0.000163,0.000163,0.000163
95,16259.9,0.15884,0.67092,0.92579,0.72825,0.68184,0.76701,0.73413,0.35181,0.88724,0.68769,0.000154,0.000154,0.000154
96,16454.1,0.15659,0.64051,0.92306,0.66161,0.67738,0.77564,0.7468,0.30529,0.85973,0.61321,0.000145,0.000145,0.000145
97,16643.2,0.15322,0.62519,0.92123,0.69829,0.70213,0.77449,0.74932,0.30268,0.86743,0.62554,0.000136,0.000136,0.000136
98,16827.2,0.15515,0.6254,0.9227,0.80648,0.64674,0.78794,0.75945,0.29277,0.84006,0.62233,0.000127,0.000127,0.000127
99,16998.9,0.14651,0.59363,0.9171,0.70477,0.70581,0.78479,0.7502,0.30958,0.85893,0.63378,0.000118,0.000118,0.000118
100,17202.1,0.14601,0.583,0.92124,0.75304,0.68552,0.79896,0.76471,0.29366,0.82101,0.61778,0.000109,0.000109,0.000109
